seriesdesc,seriestime,afd,rows,fov,voxelsize,contourname,suvmax,suvmin,suvmean,stdev,suvpeak,volume
120s qclear 4 - MPDL,49516000,120000,384,1.8229166,,Sph - 00 - Group,4.8021894,1.1409917,2.8398244,0.6890493,3.3298767,48.0715256
120s qclear 4 - MPDL,49516000,120000,384,1.8229166,,Ins - 00 - Average,0.1131392,0.0244012,0.0507777,0.013028,,45.2130127
120s qclear 4 - MPDL,49516000,120000,384,1.8229166,,Bkg - 00 - All Groups,1.1978544,0.7300558,0.954564,0.0487416,,139.3672791
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 01-01,1.1965424,0.8242257,0.9892792,0.0707052,,2.7910171
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 01-02,1.121562,0.7633609,0.9361693,0.0704641,,2.7910171
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 01-03,1.2070942,0.8500811,1.0215086,0.0725687,,2.7652221
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 01-04,1.1541955,0.7767078,0.9497666,0.082942,,2.7880075
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 01-05,1.1552439,0.7838355,0.9450554,0.0715559,,2.7639322
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 02-01,1.1810292,0.8331004,0.9718565,0.0660195,,2.7643621
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 02-02,1.1068175,0.8488233,0.982298,0.0518425,,2.8021948
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 02-03,1.2017834,0.7760789,0.9386518,0.0806344,,2.7776895
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 02-04,1.1316944,0.8010957,0.9860908,0.0599625,,2.8073537
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 02-05,1.2115664,0.7259756,0.9947299,0.0968561,,2.7996154
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 03-01,1.1302969,0.8307245,0.9679361,0.067816,,2.7377074
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 03-02,1.1096826,0.8238065,0.9349607,0.047365,,2.8082137
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 03-03,1.0448346,0.7959247,0.9424077,0.0486782,,2.7970357
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 03-04,1.1422462,0.7971824,0.9425939,0.0623536,,2.8030546
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 03-05,1.1783738,0.7039636,0.917029,0.0900803,,2.8125129
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 04-01,1.185851,0.8120669,0.9836445,0.0804157,,2.7686613
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 04-02,1.1254753,0.8249944,0.9686295,0.0485525,,2.8142323
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 04-03,1.2045087,0.8092716,0.9981103,0.0680804,,2.7845683
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 04-04,1.1906725,0.7878885,0.9674653,0.0760779,,2.8129427
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 04-05,1.1832653,0.7838355,0.9335275,0.079778,,2.7970357
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 05-01,1.1611835,0.8251342,0.9634491,0.0603671,,2.7475953
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 05-02,1.1316944,0.8536449,0.9744617,0.0508206,,2.7927365
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 05-03,1.167822,0.8574185,0.9944702,0.0630603,,2.7927365
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 05-04,1.1126873,0.7921513,0.9479243,0.0641849,,2.8026247
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 05-05,1.2148508,0.7444236,0.9926823,0.0764873,,2.8073537
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 06-01,1.1691498,0.8519679,0.9899942,0.0522833,,2.887748
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 06-02,1.2399374,0.8329607,1.0082216,0.0568085,,2.816812
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 06-03,1.2010146,0.7982308,0.9814613,0.0910487,,2.7665117
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 06-04,1.1084945,0.754626,0.9543393,0.0678713,,2.800905
60s osem 1,49516000,60000,384,699.9999847,1.8229166,Bkg - 06-05,1.1924195,0.7533683,0.9965371,0.0901244,,2.7832785
